"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_ABW_00000","8850",1995,0.646789791443366,0.685410236370632,0.685410236370632,0.703774303167677,0.709008099424632,0.711814921155607,0.713934861126224,0.713934861126224,0.713934861126224,0.717954556626418,0.26358814766846,0.0158757706955952,1,-0.389847055493916,"GEV"
"CLS_AGO_00000","2745",1995,1.16373566473683,1.28117240044002,1.28117240044002,1.32858551503195,1.34044340019243,1.34635679526323,1.35056026801023,1.35056026801023,1.35056026801023,1.35766365258039,0.944504131625465,0.0454004771003955,1,-0.476349312801924,"GEV"
"CLS_AGO_00001","2774",1995,0.928873177069073,1.01980348663759,1.01980348663759,1.06126696787504,1.07269707124341,1.07871399844529,1.0831884463587,1.0831884463587,1.0831884463587,1.091423832411,0.780183585167157,0.0368034778631346,1,-0.411997699750219,"GEV"
"CLS_AGO_00002","2741",1995,1.16884552136941,1.2855436883675,1.2855436883675,1.33542503500458,1.34848405429191,1.3551638117049,1.36001352837702,1.36001352837702,1.36001352837702,1.36854202697669,0.946355819137791,0.046102480970501,1,-0.446185104855583,"GEV"
"CLS_AGO_00003","2761",1995,1.09072110368351,1.19681306556064,1.19681306556064,1.23918655677984,1.24969262075741,1.25490679680627,1.25859845467991,1.25859845467991,1.25859845467991,1.26479038883819,0.87789041195942,0.0408459596246947,1,-0.482049427405661,"GEV"
"CLS_AGO_00004","2762",1995,1.08661098572152,1.19110415187082,1.19110415187082,1.23168954742313,1.24152863173075,1.24635143992738,1.2497308434048,1.2497308434048,1.2497308434048,1.25529046850769,0.876567447476538,0.0398015068351151,1,-0.496814342431966,"GEV"
"CLS_AGO_00005","2776",1995,0.900419854869227,0.991638649903735,0.991638649903735,1.03813418180853,1.05213481557917,1.05987801491253,1.06587888728585,1.06587888728585,1.06587888728585,1.07783810108618,0.759715690947956,0.0384626547579553,1,-0.353108499391901,"GEV"
"CLS_AGO_00006","2773",1995,0.95160237648976,1.04010792854223,1.04010792854223,1.08187031204855,1.09370029176556,1.10002298160399,1.10478481020604,1.10478481020604,1.10478481020604,1.1137646117247,0.790426427794682,0.0362791471935351,1,-0.393909502067289,"GEV"
"CLS_AGO_00007","2757",1995,1.10251695837098,1.21122795146669,1.21122795146669,1.25512760115653,1.26610866900235,1.27158532734001,1.27547865976758,1.27547865976758,1.27547865976758,1.28205892313113,0.885592698685223,0.0420305858559869,1,-0.476236013088485,"GEV"
"CLS_AGO_00008","2775",1995,0.92902271531651,1.01821194394222,1.01821194394222,1.06231535315225,1.07528117351734,1.08235637658439,1.08777828383649,1.08777828383649,1.08777828383649,1.09835081123711,0.778861839832067,0.0371939319962066,1,-0.369139859282003,"GEV"
"CLS_AGO_00009","2765",1995,1.07713453534375,1.17030016244444,1.17030016244444,1.21322249035766,1.22515208177556,1.23146070321736,1.23617000140453,1.23617000140453,1.23617000140453,1.24490109813275,0.86391080134384,0.0378527135347479,1,-0.40655528010803,"GEV"
"CLS_AGO_00010","2760",1995,1.09627406658707,1.20727676173432,1.20727676173432,1.25070189180976,1.26129060421977,1.26649751750143,1.27015581380184,1.27015581380184,1.27015581380184,1.27620428103808,0.886260351915731,0.0423981852528697,1,-0.493009654723118,"GEV"
"CLS_AGO_00011","719",1995,1.07708802902771,1.19430240300756,1.19430240300756,1.23029724287216,1.23750767235876,1.24069016182886,1.24273423712575,1.24273423712575,1.24273423712575,1.24560142766122,0.879761600327711,0.0406984754584323,1,-0.620984229072289,"GEV"
"CLS_AGO_00012","2764",1995,1.08131741994902,1.17958158041567,1.17958158041567,1.22395529952872,1.2360932139664,1.24245519432831,1.24716920401367,1.24716920401367,1.24716920401367,1.25578597193976,0.868313230047671,0.0396279389987169,1,-0.417142953651586,"GEV"
"CLS_AGO_00013","2772",1995,1.00247603516884,1.08923559906616,1.08923559906616,1.12802212796276,1.13854703810011,1.14403899913589,1.1480932152093,1.1480932152093,1.1480932152093,1.15545147855774,0.818499881514405,0.0348573167553139,1,-0.422459463999374,"GEV"
"CLS_AGO_00014","2753",1995,1.17382552555103,1.29366831808317,1.29366831808317,1.34053307377194,1.35195683099973,1.35757337351165,1.36151888582111,1.36151888582111,1.36151888582111,1.3680404244931,0.95912266030384,0.0457677026512367,1,-0.493220438747683,"GEV"
"CLS_AGO_00015","2755",1995,1.13319394231948,1.24827814147287,1.24827814147287,1.28922490750636,1.29847266803772,1.30283189795723,1.30578880309268,1.30578880309268,1.30578880309268,1.31036924288978,0.924797687173552,0.0423681223445315,1,-0.543161649041429,"GEV"
"CLS_AGO_00016","721",1995,0.95627549232488,1.04323273029375,1.04323273029375,1.08376856312296,1.09514068883311,1.10118596796757,1.10571839281588,1.10571839281588,1.10571839281588,1.11419198703673,0.793836318089692,0.0354845809494265,1,-0.400339314651675,"GEV"
"CLS_AGO_00017","2771",1995,1.03650205244764,1.12294048860494,1.12294048860494,1.1618544870933,1.1724729813923,1.17803099858393,1.18214462093454,1.18214462093454,1.18214462093454,1.18964765544991,0.826609969041789,0.0348190273483273,1,-0.418764192415426,"GEV"
"CLS_AGO_00018","2759",1995,1.09728630813598,1.20535527919707,1.20535527919707,1.24775421412673,1.25811661224084,1.26321875258882,1.26680725183214,1.26680725183214,1.26680725183214,1.27275211192137,0.884695594104211,0.0413231658156844,1,-0.491492589684418,"GEV"
