"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_ABW_00000","8850",1995,0.646220511922798,0.678431462415949,0.678431462415949,0.698430599027977,0.705459672973116,0.709701430485695,0.713238160192939,0.713238160192939,0.713238160192939,0.721380152951462,0.256928713072636,0.0145667961401508,2,-0.248777595745669,"GEV"
"CLS_AGO_00000","2745",1995,1.16404490892722,1.26732463621399,1.26732463621399,1.31856054448755,1.33366168635958,1.34191387170039,1.34824528913156,1.34824528913156,1.34824528913156,1.36061989355276,0.931138311822136,0.0431207218359561,2,-0.367435826365331,"GEV"
"CLS_AGO_00001","2774",1995,0.925178808838998,1.00502043255194,1.00502043255194,1.04959334244936,1.06401123026169,1.07231280500951,1.07896710228535,1.07896710228535,1.07896710228535,1.09313310511862,0.765858390613737,0.0347839731045597,2,-0.304995230634749,"GEV"
"CLS_AGO_00002","2741",1995,1.17139139199396,1.27190862985732,1.27190862985732,1.32444066160944,1.34057403422942,1.34959608859991,1.35665314880884,1.35665314880884,1.35665314880884,1.37097325544434,0.933570444544014,0.0427685803248465,2,-0.339889713929716,"GEV"
"CLS_AGO_00003","2761",1995,1.0909699927961,1.1831040745253,1.1831040745253,1.22910674699933,1.24273486676518,1.25020343609382,1.2559473582288,1.2559473582288,1.2559473582288,1.26722584119717,0.864674253367678,0.0385579723048281,2,-0.364022645326745,"GEV"
"CLS_AGO_00004","2762",1995,1.08477314275872,1.17646699663128,1.17646699663128,1.22135776967387,1.23445099614812,1.24156412450877,1.24699492714311,1.24699492714311,1.24699492714311,1.25750920949466,0.862219068588305,0.0380987895407549,2,-0.37442735098554,"GEV"
"CLS_AGO_00005","2776",1995,0.896835757521669,0.976153183188345,0.976153183188345,1.02430371770062,1.04093317174107,1.05086918649367,1.05908488301153,1.05908488301153,1.05908488301153,1.0776857003419,0.745012681389047,0.0355901956135549,2,-0.260681629572196,"GEV"
"CLS_AGO_00006","2773",1995,0.946054476975477,1.02481868202315,1.02481868202315,1.06996126825193,1.08486724338984,1.09355014848516,1.10057826073898,1.10057826073898,1.10057826073898,1.11583060635267,0.775477955796885,0.0346357693541551,2,-0.291094345444775,"GEV"
"CLS_AGO_00007","2757",1995,1.10165161676166,1.19735181419625,1.19735181419625,1.24469169194839,1.25861291125094,1.26621065561067,1.27203376753528,1.27203376753528,1.27203376753528,1.28339152710423,0.872168690112136,0.039914343402157,2,-0.368951700067318,"GEV"
"CLS_AGO_00008","2775",1995,0.922778657359267,1.00306550209773,1.00306550209773,1.04976623669678,1.06536609475501,1.07451275509506,1.08195693380998,1.08195693380998,1.08195693380998,1.09828850758497,0.76411044244195,0.0354899642866886,2,-0.283274534690547,"GEV"
"CLS_AGO_00009","2765",1995,1.07115420985257,1.1579994709725,1.1579994709725,1.20325752391649,1.21712585680299,1.22487151379793,1.23092379710759,1.23092379710759,1.23092379710759,1.24317982655271,0.851782401657986,0.0369134759922614,2,-0.341392094648549,"GEV"
"CLS_AGO_00010","2760",1995,1.09674872868377,1.19293404130144,1.19293404130144,1.24004994888893,1.25379824156441,1.26126909099213,1.26697418807696,1.26697418807696,1.26697418807696,1.2780239227704,0.872443469213383,0.0399731444800675,2,-0.374132786389154,"GEV"
"CLS_AGO_00011","719",1995,1.08151694504846,1.17887111975579,1.17887111975579,1.22068125761809,1.23166868256198,1.23730062862053,1.24139677113458,1.24139677113458,1.24139677113458,1.24862398997011,0.864638108791779,0.0385290955967156,2,-0.443686054128324,"GEV"
"CLS_AGO_00012","2764",1995,1.07929472042109,1.16692509457951,1.16692509457951,1.21335054796682,1.22776236343372,1.23587045145645,1.24224472226217,1.24224472226217,1.24224472226217,1.25530750656004,0.856196470253521,0.0374689437741219,2,-0.332684239153811,"GEV"
"CLS_AGO_00013","2772",1995,0.99530917714594,1.07684646594667,1.07684646594667,1.11887069949219,1.13163620254049,1.13873106295903,1.14425213297424,1.14425213297424,1.14425213297424,1.15534345957003,0.80606682386134,0.0345189202627347,2,-0.347243974599519,"GEV"
"CLS_AGO_00014","2753",1995,1.1751550665606,1.28004532648606,1.28004532648606,1.33087401044775,1.34557945609854,1.35353229849481,1.35958123178945,1.35958123178945,1.35958123178945,1.37120685824081,0.945989842298746,0.0434187232332989,2,-0.379836852149384,"GEV"
"CLS_AGO_00015","2755",1995,1.13410810113806,1.23504093096092,1.23504093096092,1.2802258094019,1.29250039030915,1.29890925189622,1.30364274402544,1.30364274402544,1.30364274402544,1.31224221415723,0.91186283873978,0.0405725295535426,2,-0.4217325449651,"GEV"
"CLS_AGO_00016","721",1995,0.951116957081973,1.03013145143338,1.03013145143338,1.0734204952582,1.08721788411701,1.09509637065514,1.10136764437841,1.10136764437841,1.10136764437841,1.1145363502937,0.780995300072866,0.0341936656793244,2,-0.314943899577081,"GEV"
"CLS_AGO_00017","2771",1995,1.02784416300473,1.1111537943061,1.1111537943061,1.15323049745003,1.16580915118174,1.17273772301175,1.17808905897684,1.17808905897684,1.17808905897684,1.18868368580979,0.814627937178302,0.0350109565225141,2,-0.357954798024045,"GEV"
"CLS_AGO_00018","2759",1995,1.0959484249854,1.19206224432312,1.19206224432312,1.23798415505249,1.25112189078406,1.25818250013587,1.26352473333138,1.26352473333138,1.26352473333138,1.27368902444116,0.871738424116591,0.0395795261357949,2,-0.387311656459537,"GEV"
