"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_AIA_00009","2013",1995,0.776029771998158,0.808223429329019,0.808223429329019,0.833584162255132,0.844292447851221,0.851468198011261,0.858003306102601,0.858003306102601,0.858003306102601,0.876011676428597,0.188970034058915,0.0157747185648648,5,-0.122861993156975,"GEV"
"CLS_AIA_00010","8920",1995,0.771533591132087,0.804443273581765,0.804443273581765,0.82959007673191,0.839963611353662,0.846822642559746,0.852999136904227,0.852999136904227,0.852999136904227,0.869626131615896,0.184938398985501,0.0159650728436667,5,-0.138980050583569,"GEV"
"CLS_AIA_00011","8921",1995,0.772895114165347,0.805289496935772,0.805289496935772,0.830798989642467,0.841567070252415,0.8487817273004,0.855351374785053,0.855351374785053,0.855351374785053,0.873449816676132,0.185801736591923,0.0158711681041869,5,-0.123056121905384,"GEV"
"CLS_AIA_00012","8920",1995,0.768833591132086,0.801743273581765,0.801743273581765,0.826890076731911,0.837263611353662,0.844122642559746,0.850299136904227,0.850299136904227,0.850299136904227,0.866926131615896,0.184938398985501,0.0159650728436667,5,-0.138980050583569,"GEV"
"CLS_AIA_00013","8921",1995,0.772895114165347,0.805289496935772,0.805289496935772,0.830798989642467,0.841567070252415,0.8487817273004,0.855351374785053,0.855351374785053,0.855351374785053,0.873449816676132,0.185801736591923,0.0158711681041869,5,-0.123056121905384,"GEV"
"CLS_ALA_00000","1032",1995,0.504102378746487,0.718289029282841,0.718289029282841,0.870193944154362,0.929372347432535,0.96723958971786,1.0004090082661,1.0004090082661,1.0004090082661,1.08477444872147,0.346127756043756,0.101360385761614,5,-0.178418762158638,"GEV"
"CLS_ALA_00001","2211",1995,0.512307926787715,0.735200566694393,0.735200566694393,0.89370821574669,0.955587617989376,0.995230346435732,1.02998983499261,1.02998983499261,1.02998983499261,1.11858085824025,0.361533865265156,0.105576190175521,5,-0.176987570043932,"GEV"
"CLS_ALA_00002","9859",1995,0.501197001762333,0.720986135685862,0.720986135685862,0.876306899797629,0.936649339982584,0.975200603439084,1.00892435334936,1.00892435334936,1.00892435334936,1.09446746051536,0.34694126957824,0.103886560168037,5,-0.180314059047203,"GEV"
"CLS_ALA_00003","2211",1995,0.512307926787715,0.735200566694393,0.735200566694393,0.89370821574669,0.955587617989376,0.995230346435732,1.02998983499261,1.02998983499261,1.02998983499261,1.11858085824025,0.361533865265156,0.105576190175521,5,-0.176987570043932,"GEV"
"CLS_ALA_00004","9859",1995,0.501797001762333,0.721586135685862,0.721586135685862,0.876906899797629,0.937249339982584,0.975800603439084,1.00952435334936,1.00952435334936,1.00952435334936,1.09506746051535,0.34694126957824,0.103886560168037,5,-0.180314059047203,"GEV"
"CLS_ALB_00000","1410",1995,0.0293487667389403,0.0971643667190855,0.0971643667190855,0.178550905522667,0.225685840611114,0.263653645268885,0.304073880438694,0.304073880438694,0.304073880438694,0.459578342795872,0.270733656367949,0.0378529894239868,5,0.0998936828641874,"GEV"
"CLS_ALB_00001","1412",1995,0.0277095431980444,0.0960731554258412,0.0960731554258412,0.177712251284211,0.224821066580885,0.262686155638825,0.302923104890608,0.302923104890608,0.302923104890608,0.457098204984354,0.269555705921146,0.0381037432392543,5,0.097273879989443,"GEV"
"CLS_ALB_00002","1422",1995,0.0295108084292247,0.102661902108149,0.102661902108149,0.176901835868979,0.214863272242095,0.243286311426318,0.271721341252516,0.271721341252516,0.271721341252516,0.367273368190257,0.2529989324559,0.0388356701684224,5,0.0111771793780456,"GEV"
"CLS_ALB_00003","14467",1995,0.0240271870491506,0.0929592783807706,0.0929592783807706,0.17441289818127,0.221049777229324,0.25836366479686,0.297859965257315,0.297859965257315,0.297859965257315,0.447900158422093,0.271782540661929,0.0383020577756414,5,0.0916874033872492,"GEV"
"CLS_ALB_00004","1414",1995,0.0269811940042735,0.0958662821235942,0.0958662821235942,0.176811317501572,0.222966273023138,0.259804939884019,0.298717595759996,0.298717595759996,0.298717595759996,0.445870152285891,0.269330374900529,0.0382133100907502,5,0.0887335627612353,"GEV"
"CLS_ALB_00005","14675",1995,-0.00815768917491674,0.0650696764207137,0.0650696764207137,0.128600996818579,0.157469741114426,0.177651683874301,0.196701591755093,0.196701591755093,0.196701591755093,0.253269859438389,0.20327926402504,0.0370174040421439,5,-0.0717932032714812,"GEV"
"CLS_ALB_00006","1433",1995,-0.0173664836325838,0.0544748311752503,0.0544748311752503,0.11719172647336,0.145824687074237,0.165896310070261,0.184885743117649,0.184885743117649,0.184885743117649,0.241548133261988,0.195903966912565,0.0363886570991696,5,-0.0685091074398558,"GEV"
"CLS_ALB_00007","1435",1995,0.0390070565948766,0.103918501263025,0.103918501263025,0.172858807311868,0.209326848838477,0.237178823718838,0.265516072943227,0.265516072943227,0.265516072943227,0.3642653840025,0.196729295981041,0.0349406107210359,5,0.0352235192759023,"GEV"
"CLS_ALB_00008","14661",1995,0.0347150420602775,0.103818664905966,0.103818664905966,0.182182526753547,0.225704547215047,0.259907563110193,0.295562657578781,0.295562657578781,0.295562657578781,0.426556485748579,0.267635659920864,0.0379341628503293,5,0.0699064104568042,"GEV"
